Player,Role,Played,Played,Points,Points,Points,Serve,Serve,Serve,Serve,Serve,Reception,Reception,Reception,Reception,Reception,Reception,Attack,Attack,Attack,Attack,Attack,Attack,Block,Block,Block
Name,,Matches,Sets,Total Points,Side-Out,Break Point,Total Points,Ace,Error,Ace per Set,Efficiency,Total,Error,Negative,Excellent,Excellent %,Efficiency,Total Points,Error,Blocked,Excellent,Excellent %,Efficiency,Net,Points,Points per Set
Vilma ANDERSSON,Setter,12,44,32,10,22,154,13,9,0.3,3%,2,0,2,0,0%,0%,26,3,1,10,38%,23%,1,9,0.2
Styliani CHRISTODOULOU,Setter,9,28,32,15,17,86,6,11,0.21,-6%,0,0,0,0,0%,0%,28,3,1,17,61%,46%,0,9,0.32
Cansu ÖZBAY,Setter,8,27,29,11,18,123,10,8,0.37,2%,1,0,0,0,0%,0%,22,2,1,14,64%,50%,1,5,0.19
Katerina VALKOVA,Setter,11,39,26,11,15,128,5,13,0.13,-6%,3,1,2,0,0%,-67%,29,0,2,12,41%,34%,0,9,0.23
Zsuzsanna KIRÁLY-TÁLAS,Setter,11,35,25,9,16,81,5,10,0.14,-6%,2,0,1,0,0%,0%,32,1,1,13,41%,34%,0,7,0.2
Olga SKRYPAK,Setter,9,27,25,12,13,103,6,4,0.22,2%,0,0,0,0,0%,0%,25,1,2,10,40%,28%,1,9,0.33
Barbora KOSEKOVA,Setter,10,36,23,5,18,123,7,6,0.19,1%,5,1,4,0,0%,-20%,11,1,0,5,45%,36%,0,11,0.31
Anastasiya LAPATO,Setter,10,29,22,6,16,78,2,8,0.07,-8%,1,1,0,0,0%,-100%,25,2,0,12,48%,40%,1,9,0.31
Polina MATVEEVA,Setter,7,26,22,7,15,66,8,11,0.31,-5%,1,0,1,0,0%,0%,17,0,1,9,53%,47%,1,5,0.19
Eva MORI,Setter,5,17,21,7,14,70,5,3,0.29,3%,3,1,2,0,0%,-33%,25,1,3,14,56%,40%,0,2,0.12
Nina STOJILJKOVIC,Setter,12,44,21,7,14,133,3,6,0.07,-2%,4,1,2,1,25%,0%,21,0,2,11,52%,43%,1,7,0.16
Daria VELYKOKON,Setter,10,21,21,4,17,66,10,5,0.48,8%,1,1,0,0,0%,-100%,10,0,2,6,60%,40%,0,5,0.24
Alessia ORRO,Setter,7,22,20,3,17,104,6,11,0.27,-5%,0,0,0,0,0%,0%,15,2,1,4,27%,7%,0,10,0.45
Fanni BAGYINKA,Setter,10,25,19,8,11,63,7,7,0.28,0%,3,2,1,0,0%,-67%,18,2,1,9,50%,33%,0,3,0.12
Milana BOŽIĆ,Setter,11,35,19,5,14,97,5,10,0.14,-5%,3,1,1,0,0%,-33%,19,1,1,7,37%,26%,1,7,0.2
Kaisa ALANKO,Setter,9,35,17,8,9,113,2,5,0.06,-3%,2,1,0,0,0%,-50%,29,2,1,10,34%,24%,0,5,0.14
Denise IMOUDU,Setter,5,18,16,7,9,67,3,10,0.17,-10%,1,0,1,0,0%,0%,16,0,1,6,38%,31%,1,7,0.39
Maja OGNJENOVIC,Setter,7,23,15,3,12,107,6,3,0.26,3%,0,0,0,0,0%,0%,18,1,1,6,33%,22%,1,3,0.13
Britt BONGAERTS,Setter,8,27,14,8,6,79,1,8,0.04,-9%,3,2,1,0,0%,-67%,20,0,1,8,40%,35%,0,5,0.19
Méline PIERRET,Setter,9,28,14,5,9,90,4,2,0.14,2%,3,1,2,0,0%,-33%,17,1,2,3,18%,0%,0,7,0.25
Elvita DOLOTOVA,Setter,6,19,13,8,5,51,3,5,0.16,-4%,1,0,1,0,0%,0%,19,1,1,8,42%,32%,0,2,0.11
Klara PERIĆ,Setter,6,21,13,6,7,66,2,14,0.1,-18%,1,1,0,0,0%,-100%,13,0,0,6,46%,46%,0,5,0.24
Nikoline Maria MOGENSEN,Setter,4,10,12,6,6,27,0,0,0.0,0%,0,0,0,0,0%,0%,12,0,0,7,58%,58%,0,5,0.5
Lora KITIPOVA,Setter,6,21,11,7,4,65,2,7,0.1,-8%,1,0,1,0,0%,0%,19,1,1,6,32%,21%,2,3,0.14
Blinera JAHA,Setter,6,19,10,4,6,43,3,8,0.16,-12%,0,0,0,0,0%,0%,16,1,0,7,44%,38%,2,0,0.0
Julija MÕNNAKMÄE,Setter,4,15,10,4,6,40,1,6,0.07,-12%,1,1,0,0,0%,-100%,13,0,0,8,62%,62%,2,1,0.07
Ana COUTO,Setter,5,16,9,5,4,50,2,1,0.12,2%,3,0,1,0,0%,0%,10,0,1,5,50%,40%,1,2,0.12
Anastasiya KANANOVICH,Setter,9,20,9,4,5,49,4,6,0.2,-4%,1,0,1,0,0%,0%,4,0,0,3,75%,75%,0,2,0.1
Maria Alejandra ALVAREZ,Setter,5,15,8,3,5,41,1,2,0.07,-2%,0,0,0,0,0%,0%,10,1,0,4,40%,30%,0,3,0.2
Kristina BESMAN,Setter,5,16,7,2,5,46,2,3,0.12,-2%,4,2,1,1,25%,-25%,9,0,0,5,56%,56%,0,1,0.06
Tamara DEDIJER,Setter,6,21,7,0,7,73,3,3,0.14,0%,1,1,0,0,0%,-100%,3,0,0,1,33%,33%,0,3,0.14
Inbal PELEG,Setter,6,20,7,2,5,57,4,3,0.2,2%,1,0,1,0,0%,0%,13,1,0,2,15%,8%,0,1,0.05
Ilka VAN DE VYVER,Setter,6,22,7,1,6,72,5,2,0.23,4%,4,0,3,1,25%,25%,9,0,0,1,11%,11%,0,1,0.05
Katarzyna WENERSKA,Setter,7,24,7,2,5,96,2,9,0.08,-7%,1,1,0,0,0%,-100%,8,0,0,3,38%,38%,0,2,0.08
Simona BAJUSZ,Setter,11,17,6,5,1,21,0,0,0.0,0%,0,0,0,0,0%,0%,6,0,0,6,100%,100%,0,0,0.0
Emilie RESPAUT,Setter,11,16,6,1,5,19,2,4,0.12,-11%,0,0,0,0,0%,0%,10,2,0,4,40%,20%,1,0,0.0
Astrid Liv Kofoed EMPACHER,Setter,6,13,5,2,3,31,1,3,0.08,-6%,1,1,0,0,0%,-100%,4,0,0,2,50%,50%,0,2,0.15
Pia KÄSTNER,Setter,6,16,5,1,4,33,1,1,0.06,0%,1,0,1,0,0%,0%,6,0,0,3,50%,50%,0,1,0.06
Ofelia MALINOV,Setter,4,9,5,1,4,26,1,2,0.11,-4%,0,0,0,0,0%,0%,8,0,1,3,38%,25%,1,1,0.11
Dana SCHMIT,Setter,5,16,5,3,2,40,2,3,0.12,-2%,1,1,0,0,0%,-100%,6,1,0,1,17%,0%,0,2,0.12
Rebekka BAHR,Setter,3,8,4,3,1,15,1,2,0.12,-7%,0,0,0,0,0%,0%,3,0,0,1,33%,33%,0,2,0.25
Petya BARAKOVA,Setter,6,15,4,0,4,30,1,2,0.07,-3%,0,0,0,0,0%,0%,1,0,0,0,0%,0%,0,3,0.2
Laura DIJKEMA,Setter,8,17,4,1,3,30,2,2,0.12,0%,0,0,0,0,0%,0%,2,1,0,0,0%,-50%,0,2,0.12
Eliana DURAO,Setter,5,11,4,0,4,30,3,2,0.27,3%,0,0,0,0,0%,0%,7,0,1,1,14%,0%,1,0,0.0
Mika ROME,Setter,5,11,4,3,1,3,0,0,0.0,0%,1,0,1,0,0%,0%,6,0,0,3,50%,50%,0,1,0.09
Evgeniya STARTSEVA,Setter,6,17,4,3,1,21,0,1,0.0,-5%,0,0,0,0,0%,0%,3,1,0,2,67%,33%,0,3,0.18
Sofia ANDERSSON,Setter,4,6,3,2,1,3,0,0,0.0,0%,0,0,0,0,0%,0%,3,1,0,2,67%,33%,0,1,0.17
Marina Elena COJOCARU,Setter,5,13,3,1,2,20,2,3,0.15,-5%,0,0,0,0,0%,0%,5,0,0,1,20%,20%,0,0,0.0
Ana DIASAMIDZE,Setter,3,9,3,2,1,26,1,4,0.11,-12%,0,0,0,0,0%,0%,11,1,2,1,9%,-18%,1,1,0.11
Julia Iwona NOWICKA,Setter,7,19,3,0,3,37,1,3,0.05,-5%,0,0,0,0,0%,0%,4,1,0,0,0%,-25%,1,2,0.11
Olga VERGIDOU,Setter,6,12,3,0,3,20,1,1,0.08,0%,0,0,0,0,0%,0%,5,0,0,0,0%,0%,0,2,0.17
Diana Lorena BALINTONI,Setter,5,12,2,1,1,23,0,1,0.0,-4%,0,0,0,0,0%,0%,4,0,0,1,25%,25%,0,1,0.08
Victoria DEISL,Setter,5,13,2,1,1,10,0,2,0.0,-20%,1,1,0,0,0%,-100%,5,0,0,2,40%,40%,0,0,0.0
Anna KOHUTOVA,Setter,6,8,2,1,1,10,1,0,0.12,10%,1,0,1,0,0%,0%,0,0,0,0,0%,0%,0,1,0.12
Katja Alina KYLMÄAHO,Setter,10,23,2,1,1,31,1,1,0.04,0%,0,0,0,0,0%,0%,1,0,0,1,100%,100%,0,0,0.0
Sara NAJDIC,Setter,6,11,2,1,1,29,1,0,0.09,3%,0,0,0,0,0%,0%,3,0,0,1,33%,33%,0,0,0.0
Ariadna PRIANTE FRANCES,Setter,5,14,2,0,2,40,2,3,0.14,-2%,0,0,0,0,0%,0%,1,0,0,0,0%,0%,0,0,0.0
Elise VAN SAS,Setter,5,15,2,0,2,5,0,0,0.0,0%,0,0,0,0,0%,0%,2,0,0,1,50%,50%,1,1,0.07
María José CORRAL BOUZA,Setter,4,9,1,0,1,22,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,1,0.11
Yana Aleksandrovna DOROSHENKO,Setter,5,8,1,0,1,3,1,0,0.12,33%,0,0,0,0,0%,0%,1,0,0,0,0%,0%,0,0,0.0
Ajla HADŽIĆ,Setter,7,11,1,0,1,8,0,1,0.0,-12%,0,0,0,0,0%,0%,3,1,0,0,0%,-33%,1,1,0.09
Oriane HÄMMERLI,Setter,5,11,1,0,1,14,1,2,0.09,-7%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Zyla KADRIU,Setter,5,7,1,1,0,5,0,1,0.0,-20%,0,0,0,0,0%,0%,2,1,0,1,50%,0%,0,0,0.0
Annalea MAEDER,Setter,4,9,1,1,0,15,0,2,0.0,-13%,0,0,0,0,0%,0%,1,0,0,1,100%,100%,0,0,0.0
Sladjana MIRKOVIC,Setter,7,15,1,1,0,30,0,1,0.0,-3%,2,1,1,0,0%,-50%,4,1,0,1,25%,0%,1,1,0.07
Elia RODRIGUEZ VILLANUEVA,Setter,5,9,1,1,0,11,0,0,0.0,0%,2,1,1,0,0%,-100%,2,0,0,0,0%,0%,0,1,0.11
Live SØRBØ,Setter,2,4,1,0,1,6,1,1,0.25,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Marija SUSIC,Setter,2,4,1,0,1,8,1,1,0.25,0%,0,0,0,0,0%,0%,1,0,0,0,0%,0%,0,0,0.0
Buse ÜNAL,Setter,6,13,1,0,1,12,0,4,0.0,-33%,0,0,0,0,0%,0%,1,0,0,0,0%,0%,0,1,0.08
Shafagat ALISHANOVA,Setter,4,8,0,0,0,7,0,1,0.0,-14%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Tamara ĐAPA,Setter,2,3,0,0,0,1,0,0,0.0,0%,0,0,0,0,0%,0%,2,0,0,0,0%,0%,0,0,0.0
Lea DEAK,Setter,1,1,0,0,0,0,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Hilda GUSTAFSSON,Setter,2,2,0,0,0,2,0,1,0.0,-50%,0,0,0,0,0%,0%,1,1,0,0,0%,-100%,0,0,0.0
Karolina KIBBERMANN,Setter,2,4,0,0,0,4,0,1,0.0,-25%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Sara Marie Langvatn KRUMSVIK,Setter,1,2,0,0,0,1,0,1,0.0,-100%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Evgenija MILIVOJEVIC,Setter,2,2,0,0,0,1,0,1,0.0,-100%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Elza REKNERE,Setter,2,4,0,0,0,0,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Jutta VAN DE VYVER,Setter,2,2,0,0,0,1,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Anna CZAKAN,Middle Blocker,10,38,116,62,54,139,7,17,0.18,-7%,3,1,2,0,0%,-100%,142,15,3,70,49%,37%,0,39,1.03
Amandha Marine SYLVES,Middle Blocker,13,47,105,61,44,133,4,9,0.09,-4%,3,2,1,0,0%,-67%,152,13,7,75,49%,36%,3,28,0.6
Veronika TRNKOVA,Middle Blocker,12,39,104,59,45,130,9,15,0.23,-5%,7,1,0,1,14%,0%,126,10,9,69,55%,40%,1,26,0.67
Eda ERDEM DÜNDAR,Middle Blocker,8,27,97,51,46,84,10,9,0.37,1%,3,0,1,1,33%,33%,113,8,4,69,61%,50%,0,18,0.67
Edina SELIMOVIC,Middle Blocker,11,35,93,45,48,124,9,11,0.26,-2%,3,0,0,1,33%,33%,131,9,9,56,43%,29%,2,28,0.8
Zsofia GYIMES,Middle Blocker,12,43,89,51,38,167,13,12,0.3,1%,12,0,7,0,0%,0%,146,11,7,61,42%,29%,1,15,0.35
Nadzeya STOLIAR,Middle Blocker,10,36,88,45,43,110,5,7,0.14,-2%,8,1,2,1,12%,0%,106,1,5,64,60%,55%,2,19,0.53
Diana MELIUSHKYNA,Middle Blocker,10,35,86,46,40,127,6,4,0.17,2%,6,1,2,1,17%,0%,101,5,6,49,49%,38%,1,31,0.89
Helena ELBÆK,Middle Blocker,6,20,85,62,23,44,3,8,0.15,-11%,1,0,0,0,0%,0%,218,25,14,75,34%,17%,0,7,0.35
Isaline SAGER WEIDER,Middle Blocker,13,48,84,45,39,224,13,9,0.27,2%,4,0,2,1,25%,25%,130,6,4,55,42%,35%,6,16,0.33
Marlies JANSSENS,Middle Blocker,6,22,76,34,42,75,16,12,0.73,5%,2,0,1,1,50%,50%,90,5,5,44,49%,38%,1,16,0.73
Milena RASIC,Middle Blocker,8,28,75,46,29,89,3,10,0.11,-8%,3,1,0,1,33%,0%,96,2,3,58,60%,55%,0,15,0.54
Lucia VARELA GOMEZ,Middle Blocker,10,34,75,38,37,125,14,16,0.41,-2%,9,0,3,3,33%,22%,99,6,4,44,44%,34%,1,17,0.5
Zehra GÜNEŞ,Middle Blocker,8,25,72,38,34,100,7,9,0.28,-2%,2,0,0,0,0%,0%,86,6,6,49,57%,43%,1,16,0.64
Ajla PARADŽIK,Middle Blocker,11,35,71,45,26,123,6,9,0.17,-2%,9,0,4,1,11%,0%,117,7,7,53,45%,33%,4,12,0.34
Juliet LOHUIS,Middle Blocker,8,26,69,32,37,99,14,7,0.54,7%,3,1,1,1,33%,0%,77,7,2,34,44%,32%,0,21,0.81
Nasya DIMITROVA,Middle Blocker,6,23,67,44,23,83,2,10,0.09,-10%,4,0,2,0,0%,-25%,90,4,4,55,61%,52%,0,10,0.43
Eline TIMMERMAN,Middle Blocker,8,27,67,36,31,129,7,8,0.26,-1%,5,0,2,1,20%,20%,83,4,4,43,52%,42%,0,17,0.63
Camilla WEITZEL,Middle Blocker,6,22,66,38,28,88,8,14,0.36,-7%,5,1,2,1,20%,0%,92,3,3,48,52%,46%,3,10,0.45
Michaela ABRHAMOVA,Middle Blocker,10,34,65,40,25,120,4,7,0.12,-2%,6,0,0,1,17%,17%,101,8,2,46,46%,36%,0,15,0.44
Mina POPOVIC,Middle Blocker,8,27,63,26,37,114,7,12,0.26,-4%,5,1,1,0,0%,-20%,66,0,6,38,58%,48%,2,19,0.7
Bozana BUTIGAN,Middle Blocker,6,21,61,30,31,65,4,8,0.19,-6%,7,0,0,3,43%,43%,70,7,2,38,54%,41%,0,19,0.9
Samira SULSER,Middle Blocker,9,34,61,40,21,114,4,13,0.12,-8%,4,0,1,0,0%,0%,96,10,5,49,51%,35%,0,8,0.24
Zuzanna EFIMIENKO-MLOTKOWSKA,Middle Blocker,7,22,59,34,25,62,4,9,0.18,-8%,3,0,1,0,0%,-33%,59,3,3,31,53%,42%,0,24,1.09
Magdalena JEHLAROVA,Middle Blocker,9,29,59,26,33,79,3,10,0.1,-9%,3,0,1,1,33%,33%,65,2,4,36,55%,46%,0,20,0.69
Daniela ÖHMAN,Middle Blocker,10,28,58,32,26,77,4,11,0.14,-9%,2,0,1,0,0%,0%,96,9,5,42,44%,29%,0,12,0.43
Hristina VUCHKOVA,Middle Blocker,6,23,58,22,36,64,2,14,0.09,-19%,9,1,5,1,11%,-22%,58,1,4,31,53%,45%,3,25,1.09
Sasa PLANINSEC,Middle Blocker,6,21,57,36,21,73,0,5,0.0,-7%,7,1,1,1,14%,0%,72,6,10,40,56%,33%,1,17,0.81
Nadzeya VLADYKA,Middle Blocker,10,32,57,34,23,94,4,9,0.12,-5%,4,0,0,3,75%,75%,73,5,4,41,56%,44%,1,12,0.38
Klaudia ALAGIERSKA,Middle Blocker,7,25,56,28,28,94,9,11,0.36,-2%,3,1,2,0,0%,-67%,55,8,4,29,53%,31%,0,18,0.72
Cristina CHIRICHELLA,Middle Blocker,7,24,54,30,24,83,5,12,0.21,-8%,3,1,0,1,33%,0%,79,10,5,38,48%,29%,0,11,0.46
Anna DANESI,Middle Blocker,6,19,52,28,24,79,2,5,0.11,-4%,2,0,0,0,0%,0%,55,4,3,33,60%,47%,0,17,0.89
Beta DUMANCIC,Middle Blocker,6,21,52,31,21,61,5,2,0.24,5%,4,1,2,0,0%,-25%,83,9,3,36,43%,29%,0,12,0.57
Aline RODRIGUES,Middle Blocker,5,18,51,30,21,59,6,9,0.33,-5%,2,1,0,1,50%,0%,73,5,3,39,53%,42%,0,6,0.33
Marie SCHOELZEL,Middle Blocker,6,23,47,31,16,57,2,4,0.09,-4%,4,0,1,0,0%,0%,70,3,4,37,53%,43%,2,8,0.35
Georgia LAMPROUSI,Middle Blocker,9,27,46,17,29,87,5,4,0.19,1%,1,0,0,1,100%,100%,69,3,3,31,45%,36%,0,10,0.37
Ana VELJKOVIC,Middle Blocker,6,19,46,34,12,59,0,2,0.0,-3%,6,0,1,1,17%,17%,72,4,3,29,40%,31%,1,17,0.89
Lucrecia CASTELLANO,Middle Blocker,7,20,45,27,18,53,2,3,0.1,-2%,2,0,0,0,0%,0%,70,6,0,29,41%,33%,2,14,0.7
Lāsma OZOLA,Middle Blocker,6,18,43,27,16,60,3,14,0.17,-18%,5,1,1,2,40%,20%,56,4,7,24,43%,23%,2,16,0.89
Kseniya PAVLENKO,Middle Blocker,5,16,43,26,17,39,1,5,0.06,-10%,98,25,24,15,15%,-10%,132,12,11,42,32%,14%,1,1,0.06
Eszter Anna PEKÁRIK,Middle Blocker,6,23,43,25,18,65,3,4,0.13,-2%,7,0,2,1,14%,0%,47,6,1,24,51%,36%,0,16,0.7
Silke VAN AVERMAET,Middle Blocker,6,21,43,26,17,63,6,8,0.29,-3%,2,0,1,0,0%,0%,80,3,1,34,42%,38%,1,3,0.14
Madlaina MATTER,Middle Blocker,9,30,41,28,13,83,2,8,0.07,-7%,3,0,0,0,0%,0%,66,1,8,34,52%,38%,1,5,0.17
Jaroslava PENCOVA,Middle Blocker,5,19,39,25,14,55,2,1,0.11,2%,2,0,0,0,0%,0%,47,3,4,25,53%,38%,0,12,0.63
Dalila-Lilly TOPIC,Middle Blocker,12,42,38,20,18,110,0,10,0.0,-9%,7,1,2,0,0%,-29%,53,5,0,17,32%,23%,1,21,0.5
Bleona KADRIU,Middle Blocker,6,16,37,26,11,57,3,4,0.19,-2%,0,0,0,0,0%,0%,66,3,1,28,42%,36%,0,6,0.38
Valmire RAMADANI,Middle Blocker,6,19,37,23,14,48,2,7,0.11,-10%,1,0,0,0,0%,0%,99,6,6,31,31%,19%,0,4,0.21
Amanda CAVALCANTI,Middle Blocker,5,15,36,20,16,38,2,11,0.13,-24%,3,1,0,0,0%,-33%,54,7,3,25,46%,28%,2,9,0.6
Aida MEHIC,Middle Blocker,5,16,36,20,16,55,6,6,0.38,0%,4,0,2,1,25%,25%,54,5,4,25,46%,30%,0,5,0.31
Ekaterina ENINA,Middle Blocker,7,27,35,20,15,87,3,9,0.11,-7%,7,2,1,2,29%,0%,54,6,3,27,50%,33%,2,5,0.19
Yuliya GERASYMOVA,Middle Blocker,7,21,35,18,17,47,0,2,0.0,-4%,3,1,1,0,0%,-67%,48,5,0,19,40%,29%,0,16,0.76
Pavlina SIMANOVA,Middle Blocker,12,32,35,19,16,76,5,7,0.16,-3%,5,0,1,0,0%,-20%,46,0,3,21,46%,39%,0,9,0.28
Tina GRUDINA,Middle Blocker,5,14,33,21,12,39,2,4,0.14,-5%,2,0,1,1,50%,50%,49,1,4,25,51%,41%,0,6,0.43
Linda ANDERSSON,Middle Blocker,12,41,32,11,21,105,7,9,0.17,-2%,0,0,0,0,0%,0%,42,4,5,12,29%,7%,3,13,0.32
Galya DEVASH,Middle Blocker,6,20,32,13,19,58,3,4,0.15,-2%,4,1,3,0,0%,-50%,45,0,6,16,36%,22%,2,13,0.65
Liis KULLERKANN,Middle Blocker,4,15,32,20,12,45,2,4,0.13,-4%,2,0,0,2,100%,100%,60,3,4,23,38%,27%,1,7,0.47
Carmen UNZUE,Middle Blocker,7,18,32,22,10,52,2,4,0.11,-4%,3,0,1,1,33%,33%,50,4,2,20,40%,28%,1,10,0.56
Aikaterina GIOTA,Middle Blocker,8,23,31,16,15,83,2,10,0.09,-10%,3,0,2,0,0%,0%,39,4,4,15,38%,18%,2,14,0.61
Sabrina MÜLLER,Middle Blocker,5,16,31,18,13,56,3,12,0.19,-16%,5,1,1,1,20%,0%,45,3,4,21,47%,31%,0,7,0.44
Krista Michaela BJERREGÅRD MADSEN,Middle Blocker,4,13,30,18,12,34,1,2,0.08,-3%,0,0,0,0,0%,0%,61,3,7,25,41%,25%,0,4,0.31
Mariya KIRILYUK,Middle Blocker,5,15,30,25,5,55,1,3,0.07,-4%,8,3,3,0,0%,-38%,49,0,4,23,47%,39%,0,7,0.47
Sophia Helena ANDERSEN,Middle Blocker,5,14,29,17,12,41,6,4,0.43,5%,5,0,1,2,40%,40%,42,4,3,18,43%,26%,0,5,0.36
